,qid,ATP,answer,EIGV,HGA,IGV,VGT,frame_count,question,type,a0,a1,a2,a3,a4,all_correct,all_wrong,ATP_correct,EIGV_correct,HGA_correct,IGV_correct,VGT_correct
1365,9667167640_7,2,2,2,2,4,2,1305,how did the person show affection to the dog at the end of the video,CH,put dog on the floor,walking to it,pats the dog,wipe its mouth,crouched down,True,False,True,True,True,False,True
1366,2562087639_0,3,3,3,3,4,3,580,what does the lady in pink skirt do as the couple dances,TC,eats sandwich,listen to music,looking at scenery,watch them dance,lie in bed,True,False,True,True,True,False,True
1368,12908685313_6,3,3,3,3,4,3,1442,why is the man in grey moving his arms at the beginning of the video,CW,opening box,put down a pail,part of instructions,swinging the paddle,listening,True,False,True,True,True,False,True
1371,4032595511_7,2,2,2,2,1,2,949,why did the man in white get up from leaning back for,CW,to focus on each word,to hold the mic,type on laptop,taking video,taking photos,True,False,True,True,True,False,True
1375,4220559457_5,0,0,0,0,0,0,1495,how does the dog keep the pillow in the same position when adjusting the height of the pillow s fold,TC,use its hands,lean against the cushion,curled up,rock the chair,licks the cat,True,False,True,True,True,True,True
1380,10278239024_0,4,4,4,4,1,4,1218,what did the baby on the floor do when he first reached the sofa in the middle,TC,go back for the diaper,turn back,grab the toy,moves the toy,touch something on the floor,True,False,True,True,True,False,True
1384,9892339505_2,1,1,1,1,4,1,1202,what did the lady do after stroking the cat at the door,TN,move the paws,move to other cat,rubs against him,move its head,lie down,True,False,True,True,True,False,True
1387,8064396272_6,1,1,1,1,1,1,693,where are the dogs hanging out,DL,bed,living room,a forest,carpark,roadside,True,False,True,True,True,True,True
1389,4078892037_2,1,1,1,1,1,1,1450,what does the baby do while on the swing,TC,went to play slide,move legs,kick her legs,father push roll,relaxed,True,False,True,True,True,True,True
1391,3377976885_5,0,0,0,0,0,0,330,why are there rocks and plants in the room,CW,minic panda living environment,filming location for a movie,decorations,provide electricity,protect baby when falling,True,False,True,True,True,True,True
1396,5419971337_3,2,2,2,2,1,2,453,what does the man do as the model moves along the track,TC,play with toy,playing the guitar,he watches the model move,run to man,video it down,True,False,True,True,True,False,True
1400,3819750158_11,3,3,3,3,3,3,1302,how is the boy feeling while playing with the car bumpers,TC,serious,sleepy,boring,happy,crying,True,False,True,True,True,True,True
1416,4315349265_1,3,3,3,3,4,3,1643,what does the man in white do while the couple held the knife at the start,TC,walks away,laugh,holding plates,hold a cloth above the knife,pass glass cup to waiter,True,False,True,True,True,False,True
1422,3111307977_2,2,2,2,2,4,2,1467,why did the person reach her hand forward while the cat is playing with the plush fish,CW,take a flower,drink water,take the plush fish away,touch the tv,touch the girl,True,False,True,True,True,False,True
1423,4945866176_2,0,0,0,0,0,0,2697,why did the boy in green turn back in the middle of the video,CW,look at something,ankle pain,check pedal,check time,retrieve his umbrella,True,False,True,True,True,True,True
1424,3727471969_7,1,1,1,1,1,1,1035,how was the baby being carried,CH,on a toy,on white lady s arms,in the high chair,on man s lap,sit on baby chair,True,False,True,True,True,True,True
1426,6813372954_4,0,0,0,0,0,0,1412,what did the man in yellow do after holding the big fruit at shoulder height for a while,TN,lower the fruit,talk on the phone,dismount from his bicycle,help to eat the fruit,clap,True,False,True,True,True,True,True
1434,5028143031_6,4,4,4,4,1,4,1691,what happens to the man in green after performing the trick at the beginning,TN,hold his head,look at man in green,take a few steps forward,put the boy down,fell down,True,False,True,True,True,False,True
1437,10376859826_5,4,4,4,4,1,4,1145,where are the people hanging out,DL,outside house,lake,snow mountain,outside a building,living room,True,False,True,True,True,False,True
1440,7484513326_5,4,4,4,4,0,4,1845,why does the person constantly look down at his guitar,CW,ensure it is placed well,look at the cat,sways to the music,teach baby to play,accurately strum the notes,True,False,True,True,True,False,True
1441,11277683376_8,1,1,1,1,0,1,531,where is this video taken,DL,ball room,classroom,grassland,sheltered area,cinema,True,False,True,True,True,False,True
1442,5353486947_6,2,2,2,2,4,2,464,what does the woman do after the baby uncovering his eyes,TN,close the door,wear pants,uncover eyes too,push trolley,look into the camera,True,False,True,True,True,False,True
1445,12427023395_9,3,3,3,3,1,3,832,what does the man do after the woman sitting down on the sofa points at him,TN,play the drum,playing with baby,playing in toy car,walk to sofa,watching tv,True,False,True,True,True,False,True
1447,5159941010_5,3,3,3,3,4,3,1373,what did the lady in checkered shirt do when the white dog approached her,TC,shake baby up and down,stop walking,look to the left,move the dog away,put her arms up,True,False,True,True,True,False,True
1454,6237913346_6,2,2,2,2,1,2,1219,what is the baby wrapped in,DO,giraffe toys,sand,blanket,pram,flour,True,False,True,True,True,False,True
1455,4088558209_6,0,0,0,0,0,0,2400,how did the girl manify her voice,CH,hold a microphone,standing in front of the microphone,move it towards the baby,hold it up with her right hand,microphone on table,True,False,True,True,True,True,True
1457,4693242968_0,2,2,2,2,1,2,803,how many birds are there,DC,five,nine,two,one,six,True,False,True,True,True,False,True
1464,4742652230_2,0,0,0,0,0,0,634,how did the girl make the baby move,CH,push the chair baby is in,ask parents to move,move toys from baby,pull rope,carry baby,True,False,True,True,True,True,True
1465,2479343168_3,2,2,2,2,4,2,898,why are there tents in the background at the middle of the video,CW,toy to attract baby s attention,to take marker,campsite,blew the candle,pictures taken,True,False,True,True,True,False,True
1470,9175646479_5,2,2,2,2,1,2,1135,why was the lady writing on the book,CW,show what she s talking about,teaching the baby,signing it,notes down what red lady says,draw for guessing game,True,False,True,True,True,False,True
1472,8227806049_2,1,1,1,1,4,1,792,what does the man do to the baby before turning to his left at the end,TP,turn to the other man,kiss baby,point in a direction,pick up mat and wave vigorously,starts running with the trolley,True,False,True,True,True,False,True
1473,4891298747_2,3,3,3,3,1,3,2269,what does the boy do as the girl and ladies stir,TC,laughs,pull the girl,shake his head,watch them stir,claps,True,False,True,True,True,False,True
1478,6090059986_1,1,1,1,1,1,1,607,why did the black dog start running near the middle,CW,to prevent get wet,run away from the brown dog,welcome the boy,sniff around,to catch the ball,True,False,True,True,True,True,True
1497,7149839527_7,2,2,2,2,1,2,1186,where are the people at,DL,bus,beach,room,fish farm,dancing,True,False,True,True,True,False,True
1503,3308258691_5,0,0,0,0,0,0,469,why are there fences surrounding the piano,CW,prevent people from touching it,singing,prevent rabbit from excaping,prevent horse from escaping,prevent trains from moving out,True,False,True,True,True,True,True
1505,7618872538_9,2,2,2,2,1,2,483,how many children are there,DC,one,nine,two,three,six,True,False,True,True,True,False,True
1506,9663613477_0,4,4,4,4,4,4,794,why did the dog lick the adult,CW,take the food,to return to the owner,to drink water,playing catch,show its affection,True,False,True,True,True,True,True
1511,2440996945_6,2,2,2,2,1,2,1952,what did the child do with the book after she opened it,TN,bored,point to the page,closed it,giving attention,drop the book,True,False,True,True,True,False,True
1519,4555151860_6,4,4,4,4,4,4,1423,how does the kid react when the man tries to get him to clap his hands,TC,shake his body,play piano,cries,lie down,laughing,True,False,True,True,True,True,True
1520,2758135371_3,0,0,0,0,0,0,719,what did the lady in white do after the snake was placed on her,TN,hold the snake,smile,hold the bottle,look at the girl in pink,blow candle,True,False,True,True,True,True,True
1522,6557505435_2,2,2,2,2,1,2,1380,what does the dog do after the person stretch his hand out,TN,look around,move to right side,lick hand,jump around,put its paw back,True,False,True,True,True,False,True
1527,3765087719_7,4,4,4,4,0,4,2165,how did the girls show their enjoyment,CH,smile,thumbs up,they wave their hands,kiss each other,move their bodies to music,True,False,True,True,True,False,True
1529,4084841090_1,0,0,0,0,0,0,433,what did the lady do after taking the dog off the float,TN,dip it in pool,follow the girl,ran back,rolls on the ground,move backwards,True,False,True,True,True,True,True
1540,6546241805_3,2,2,2,2,0,2,570,how did the child flatten the dough,CH,use bare hands,with machine,use a roller,press down pan,pass to adult,True,False,True,True,True,False,True
1544,6991460472_7,1,1,1,1,1,1,320,what does the kid do after the woman stops walking and turns around at him,TN,point to her left,walks towards her,stomp her foot,walks backwards,put face close to baby,True,False,True,True,True,True,True
1557,5875210125_6,0,0,0,0,0,0,564,how many people are involved in the video,DO,two,five,ten,four,eight,True,False,True,True,True,True,True
1558,2440996945_8,1,1,1,1,0,1,1952,how did the child move around the room,CH,dancing around,walk,crawling around,hugging the toys,by pushing pram,True,False,True,True,True,False,True
1559,4170300998_6,0,0,0,0,0,0,531,how did the men make sure that the dog is always within reach,CH,hold onto leash,put into car,close the door of cages,dog whistle,put red blanket,True,False,True,True,True,True,True
1561,7564333634_8,4,4,4,4,4,4,510,what did the woman in red on the right do after she stretched her leg at the beginning,TN,stop riding,touch the container,stand up,take scissor cut,bend her body,True,False,True,True,True,True,True
1562,6129191741_7,1,1,1,1,4,1,940,what does the woman with long hair do right after getting out the tunnel,TN,change shoes,look around,touching her head,pass the stick to the boy,dancing backward,True,False,True,True,True,False,True
1563,6097011028_9,0,0,0,0,0,0,1380,why did the lady with flower shirt looked at the two ladies in black,CW,talking to them,take note of their behavious,help them stir mixture,follow their directions,take picture of them,True,False,True,True,True,True,True
1564,10734790773_8,3,3,3,3,1,3,1126,where is this happening,DL,bowling alley,trail,hospital,house,in the day,True,False,True,True,True,False,True
1567,8652286448_6,4,4,4,4,4,4,1215,what did the baby kangaroo do after it licked itself at first part,TN,put toy handle in mouth,move ears,push 2 blocks closer,same direction as dog,lick the big kangaroo s feet,True,False,True,True,True,True,True
1577,5188348585_2,1,1,1,1,4,1,1453,what did the person pour the liquor into,TC,water bottle,glass,soda can,plastic cup,tupperware,True,False,True,True,True,False,True
1578,4684348177_7,4,4,4,4,1,4,401,how many people are shown in the video,DC,five,one,four,three,two,True,False,True,True,True,False,True
1589,6071633426_0,0,0,0,0,0,0,2674,how did the baby kept his shirt free from stains,CH,bib,tissue,wear apron,wearing a cap,wear napkin,True,False,True,True,True,True,True
1590,3042965654_4,3,3,3,3,4,3,454,why are there two balloons attached to the equipment,CW,old,photo taking,express happiness,propel it in the air,playing,True,False,True,True,True,False,True
1591,5475182274_4,2,2,2,2,0,2,1786,what did the man do when the girl threw the toy away in the middle of the video,TC,point away,look at the baby,pick it up,look at rubbish bin,move forward,True,False,True,True,True,False,True
1595,3148729782_7,0,0,0,0,0,0,1493,how is the baby being held,CH,in the man s arm,held by woman,on white lady s arms,on man s lap,strapped into pram,True,False,True,True,True,True,True
1596,6851952624_5,2,2,2,2,4,2,1948,what does the man in orange do after walking up the stairs at the start,TN,play video,touched his shoulders,play the drums,prepare to swing bowling ball,turns back,True,False,True,True,True,False,True
1600,3697296215_7,4,4,4,4,4,4,439,why were the two men trying to move forward,CW,moving the dog,moving the table,riding the toy horse,paddle the boat,playing,True,False,True,True,True,True,True
1611,2983727948_5,1,1,1,1,4,1,642,how do the people express that they are happy,CH,dance together,smile,claps,jump,kiss each other,True,False,True,True,True,False,True
1614,4254626112_1,1,1,1,1,4,1,2158,why did the boy and girl fall to the ground occasionally,CW,to get to somewhere,dizzy after spinning,part of dance,not able to balance himself,hit himself with the can,True,False,True,True,True,False,True
1616,4400018396_4,3,3,3,3,0,3,648,where is this video taken,DL,backyard,park,sea,in house,construction site,True,False,True,True,True,False,True
1619,6095248978_8,0,0,0,0,0,0,2250,what does the man do after the boy approaches him at the start,TN,talk to boy,smiles,point to camera,start dancing,clap,True,False,True,True,True,True,True
1623,6271388004_0,3,3,3,3,1,3,1400,why is the leopard with darker spots lying on the grass without moving,CW,let the panther lick the other side,to sniff,sunbathing,resting,like the grassland,True,False,True,True,True,False,True
1628,12753577835_1,0,0,0,0,0,0,840,why did the boy in strip started jumping around at first,CW,playing around,look in front,direct attention,catch his balance,learning to ride,True,False,True,True,True,True,True
1629,10309844035_6,4,4,4,4,4,4,960,why is the man in blue there with the man on the ladder,CW,audience,to video speech,he is performing a show,tree trimming,to assist him,True,False,True,True,True,True,True
1631,3070014782_2,2,2,2,2,4,2,450,why did the lady separate both toddlers,CW,keep baby from falling,finished playing,prevent boy from bothering girl,providing support,push herself down,True,False,True,True,True,False,True
1634,3332670362_6,0,0,0,0,0,0,1622,why did the boy hold onto the swing with two hands after the swing swung forward back to him,CW,stop the swing,get the toy on the swing,pick up the baby,paint the swing,dropped into the water,True,False,True,True,True,True,True
1645,3386238080_1,4,4,4,4,4,4,1253,why does the man constantly look at the phone s screen,CW,part of performance,expressive,listening to game music,camera man,watch video,True,False,True,True,True,True,True
1658,6974250690_7,1,1,1,1,4,1,1085,how does the baby feel while playing,TC,upset,happy,tired,weary,sad,True,False,True,True,True,False,True
1665,6095248978_11,2,2,2,2,1,2,2250,where is this happening,DL,hospital,in the sea,living room,river,office,True,False,True,True,True,False,True
1669,2667165452_5,4,4,4,4,4,4,900,why is the woman in green facing her bavk towards the view,CW,checking her shoes,holding orange shirt baby,watering the plants,adjusting hair,posing for photo,True,False,True,True,True,True,True
1670,10309844035_7,3,3,3,3,4,3,960,how does the man on the ladder feel after finishing taking the photo,TN,points his finger downward,use towel dry ferret,walk towards the ladies,happy,sit at the chair at the side,True,False,True,True,True,False,True
1672,3350068648_2,0,0,0,0,0,0,687,what did the man in black do with his phone after he finished using them in the beginning of the video,TN,put it down,drink,turn to look,jump off the bed,drink from it,True,False,True,True,True,True,True
1675,3167311763_1,1,1,1,1,1,1,1087,why does the lady look disappointed at the end,CW,type on laptop,does not throw the ball well,protect from sun,neck ache,let others speak,True,False,True,True,True,True,True
1676,9203522308_7,1,1,1,1,1,1,1039,what is the occasion in the video,DO,guided the train,birthday,computer screen,performance,phone,True,False,True,True,True,True,True
1680,7846636954_3,2,2,2,2,1,2,733,where is this video taken,DL,dinning table,jungle,living room,lake side,beach,True,False,True,True,True,False,True
1689,3255908815_1,3,3,3,3,4,3,1017,why is the boy playing with a water bottle,CW,not experienced at swimming,feed baby,looking for something,drinking,to touch water,True,False,True,True,True,False,True
1693,8617869131_8,0,0,0,0,0,0,926,what did the half naked man do after he came to hold the horse s saddle,TN,guide horse,rock,stare at camera,walk forward,moves back and forth,True,False,True,True,True,True,True
1694,4522298433_3,2,2,2,2,4,2,585,what did the white dog do when it first approached the cat,TC,eating cake,touch newspaper,attack it,crawl out,wagging tail,True,False,True,True,True,False,True
1698,5080289573_0,3,3,3,3,4,3,396,what did the two girls do after filling their hats with water,TN,singing,throw the ball,acting,pour onto their heads,blow out candles,True,False,True,True,True,False,True
1699,2407193002_9,2,2,2,2,1,2,1637,where are the boys hanging out,DL,by the window,on a platform,living room,roadside,at a slope,True,False,True,True,True,False,True
1714,8111513362_0,2,2,2,2,4,2,1114,why is the lady holding the baby at the start,CW,to pose for the camera,baby was drowning,help baby stand in water,swing baby,help baby on slide,True,False,True,True,True,False,True
1715,3767851258_5,3,3,3,3,4,3,1316,what did the lady do after the boy in beige pulled the other boy s cap,TN,look at lady and lean closer,turn to her,stand at the side and watch,adjust it,point finger,True,False,True,True,True,False,True
1720,5550305641_6,3,3,3,3,4,3,2697,where is this video taken,DL,snow mountain,middle of ocean,cinema,park,mountain top,True,False,True,True,True,False,True
1733,8201826598_6,0,0,0,0,0,0,2138,why does the person point to in between to the boy,CW,direct the boy s attention,direct him to sing,get the paint,counting something,want a sweet,True,False,True,True,True,True,True
1734,3223951946_6,2,2,2,2,4,2,474,where are the two people dancing,DL,swimming pool,concert stage,living room,grass patch,school,True,False,True,True,True,False,True
1746,2925748611_7,0,0,0,0,0,0,355,what did the person press after the transfer is completed,TN,back button,bow down,smiles,start writing,raise his hand,True,False,True,True,True,True,True
1750,2414043078_9,0,0,0,0,0,0,709,why did the man in red turn to the man in white after talking to the man in yellow,CW,to talk to the man,hit him,draw a flower,let him play with the toy,read a book,True,False,True,True,True,True,True
1757,4742652230_1,0,0,0,0,0,0,634,how did the girl decorate her head,CH,wear a crown,dye her hair,helmet,using clips,wear sunglasses,True,False,True,True,True,True,True
1761,11400037054_8,1,1,1,1,4,1,1811,why is the lady in blue sitting at the table and looking at the lady in black,CW,flipping through her book,listening to lady in black,talking to lady in white,listen the music,time to eat food,True,False,True,True,True,False,True
1763,4080877621_5,0,0,0,0,0,0,658,how did the man see the lady clearly,DO,wear spectacles,lean forward,standing,hand gestures,use hand gestures,True,False,True,True,True,True,True
1764,4672625782_5,0,0,0,0,0,0,1635,what does the man in white do after the man sitting in front of the boat pulls the rope at the front of the boat,TN,tie rope to platform,jump up and down,touch the water,point at boats,eat something,True,False,True,True,True,True,True
1765,3477094374_1,4,4,4,4,4,4,1824,what does the movement of arms and legs of the baby signify,DO,anger,scared,curious,touch dog,excitement,True,False,True,True,True,True,True
1766,5728022703_7,4,4,4,4,1,4,346,what does the girl in black do after she sits on the dolphin,TN,float away,give attention to brown dog,fall into water,jump into water,lie down and pose,True,False,True,True,True,False,True
1768,3819750158_2,3,3,3,3,4,3,1302,why does the kid touches the number plate of the cars,CW,cleaning it,open the car door,posing with it,curious,wants to take it out,True,False,True,True,True,False,True
1775,6993049783_0,0,0,0,0,1,0,1322,why did the man at the start of the video walk on the grass,CW,road is muddy,engrossed in performance,adjust his seat,push the machine,waiting for ball to be thrown,True,False,True,True,True,False,True
1778,5969368435_9,2,2,2,2,1,2,2512,what did the girl in pink do after she went to the bottom of the slope near the end,TN,stands in front of camera,pick up a snowball,walk upwards on the slope,walk away,sit down,True,False,True,True,True,False,True
1779,3557601110_2,1,1,1,1,0,1,305,why does the man riding the bike get off the bridge he is on near the end of the video,CW,shift onto the muddy track,fell off bridge,pose,adjust his gloves,chase after the running boy,True,False,True,True,True,False,True
1784,12908685313_0,2,2,2,2,0,2,1442,how did the boat move forward,CH,man pushing it,pulled by another boat,water currents pushing it,pushed by another boat,motor engine,True,False,True,True,True,False,True
1792,3255908815_3,1,1,1,1,0,1,1017,why does the boy get up and turn to a different side,CW,go back to the shore,play with camera,pointing something,dancing,illustrate what he is mimicking,True,False,True,True,True,False,True
1795,9010710024_4,1,1,1,1,0,1,656,how did the man in black jacket react when the man in blue next to him clapped his hands in the air at the end,TC,stares blankly,he laughed,gave him a helmet,stand in position,point to the fridge,True,False,True,True,True,False,True
1796,2434450989_4,0,0,0,0,0,0,1616,what did the man with the guitar do after he finished playing at the end of the video,TN,walk away,fell down,turns toward the cameraman,check his pants,let go of the microphone,True,False,True,True,True,True,True
1797,2855649995_0,4,4,4,4,0,4,812,why is the girl pushing the lemon on the white tool,CW,unwrapping it,serving customers,emphasize a point,check the drink,squeeze juice,True,False,True,True,True,False,True
1799,4070768447_4,3,3,3,3,1,3,719,why did the baby shake the toys up and down？,CW,restless,to bite it,touch the toy,play with them,no longer interested,True,False,True,True,True,False,True
1805,4775972536_11,3,3,3,3,1,3,887,where is this video taken,DL,supermarket,outdoors,sea,car,outside,True,False,True,True,True,False,True
1807,4650731570_5,2,2,2,2,1,2,2025,where is this video taken,DL,train,dancing hall,living room,road,park,True,False,True,True,True,False,True
1808,5012237466_0,4,4,4,4,4,4,1386,why is the child in stripes squatting near the fountain,CW,playing with toys,touching rabbit,play with phone,to observe ants,playing with water,True,False,True,True,True,True,True
1811,5080289573_7,1,1,1,1,4,1,396,why did the girl in red hold onto the girl in blue,CW,playing with her,prevent falling,to take picture,check her watch,dancing together,True,False,True,True,True,False,True
1835,5297426137_2,4,4,4,4,4,4,1227,why did the girl pull the boy s hair,CW,annoyed with the boy,she is bored,prevent it from blocking her sight,guide his walking,disturb him,True,False,True,True,True,True,True
1836,10495085476_5,4,4,4,4,1,4,918,what is the relationship between the child and the adult,DO,coworkers,colleagues,friends,parent offsrping,parent offspring,True,False,True,True,True,False,True
1847,2676529856_5,2,2,2,2,1,2,1242,where is this video taken,DL,dinning table,kitchen,living room,road,computer table,True,False,True,True,True,False,True
1848,2732002300_1,3,3,3,3,4,3,666,why are there fences along the path,CW,sniffing around,protect them,want to go out,to prevent poeple from skiing away,prevent running away,True,False,True,True,True,False,True
1855,4188739935_9,3,3,3,3,4,3,2116,what is the boy riding,DO,toy table,sibling,keep warm,mini motorcycle,nerf gun,True,False,True,True,True,False,True
1858,9737743904_7,4,4,4,4,0,4,1980,what did the boy in red do after taking the green ball,TN,walk back and forth,push the basket,feel accomplished,drop his hat,throw it,True,False,True,True,True,False,True
1859,7527437500_1,1,1,1,1,3,1,368,what kind of clothes are the children wearing as they play,TC,loose clothes,thick clothes,sweater and t-shirt,pajamas,thin clothes,True,False,True,True,True,False,True
1860,4775972536_7,2,2,2,2,4,2,887,how are the boys supported in the car,CH,life vest,wheeler,seat belt and baby chair,jacket,sit on special chair,True,False,True,True,True,False,True
1861,10728284944_7,0,0,0,0,0,0,2427,how does the girl use body language to demonstrate what she is saying,CH,use hand gestures to demonstrate,point towards video,keep clapping,playing with her hair,use laser pointer,True,False,True,True,True,True,True
1864,5807908661_4,3,3,3,3,4,3,1665,how did the women sitting at the tables feel while seated at the outdoor restaurant,TC,sad,distracted,tired,happy,energetic,True,False,True,True,True,False,True
1865,6279934011_7,0,0,0,0,0,0,1817,why is the girl smiling,CW,happy,being tickled,following lady in white,enjoy skiing,posing for camera,True,False,True,True,True,True,True
1869,6827449094_7,3,3,3,3,4,3,2697,why does the boy put his legs on the ground when he is on the car,CW,to stand up,adjust shoes,stretching,to move,remove socks,True,False,True,True,True,False,True
1881,3425409935_3,4,4,4,4,4,4,2594,why is the lady holding stick at the back of car repeatedly,CW,part of exercising,express excited,pull the car from grass,bend down to check on baby,control car direction,True,False,True,True,True,True,True
1882,2481132749_7,3,3,3,3,4,3,671,what did the man in black do after he bend down in the middle of the video,TN,hand gesture to push it away,turned the car,using computer,pick something up,put finger in the mouth,True,False,True,True,True,False,True
1888,4161474420_4,1,1,1,1,1,1,850,how did the baby react when the lady hugged him,CH,kick lady,look at lady,throw toy at lady,playing with balloon,kiss lady,True,False,True,True,True,True,True
1889,3942746345_5,4,4,4,4,4,4,1152,how did the person gave the cat the food,CH,with tongs,put into bowl,combs the cat,with straw,hold food in hand,True,False,True,True,True,True,True
1892,11400037054_9,0,0,0,0,4,0,1811,why did the man in black continue sitting at his seat after he drank water from his cup,CW,listening to lady in black,watching television,keep his hands free to move,to taste the drink,explain to camera,True,False,True,True,True,False,True
1894,6691315951_4,4,4,4,4,4,4,1107,what animal is shown on the red birdhouse,DO,tiger,penguins,horse,bats,birds,True,False,True,True,True,True,True
1912,3769795457_3,2,2,2,2,1,2,1905,what did the boy in blue do after the boy in white closed the door near the end of the video,TN,position ball under white poles,stares,knock on the door,starts moving left and right,get up and jump,True,False,True,True,True,False,True
1915,7530953680_2,3,3,3,3,0,3,1320,why did the man point at different cruises and talk about them,CW,posing for the video,guiding the tousists,choosing which one to baord,giving introduction,selecting the bigger one,True,False,True,True,True,False,True
1916,2603758280_1,1,1,1,1,4,1,1846,why were the two people having their hands lifted up in the first half of the video,CW,introducing boy in yellow,holding rope,talk to cameraman,help baby stand,look something from the presentation,True,False,True,True,True,False,True
1918,3425596660_4,4,4,4,4,4,4,1422,why did the bald man show his phone to the audience,CW,he was angry,gesture while talking,posing for a photo,acting,show who he is calling,True,False,True,True,True,True,True
1922,11278971046_4,0,0,0,0,0,0,408,how did the children remember what to say in this role play,CH,refer to their cards,touch the toy with fingers,move it around,by copying the man,look at screen,True,False,True,True,True,True,True
1924,5471923610_10,1,1,1,1,1,1,1061,what changes on the main screen after the first question is shown and answered,TN,dance,number disappears,playing on the swing,two people went out,crying,True,False,True,True,True,True,True
1925,7174056178_3,0,0,0,0,0,0,901,why is the girl in blue sitting on the couch,CW,playing game on phone,imitate funny face,check where girl in pink is,to change music,dancing,True,False,True,True,True,True,True
1933,10437686463_3,4,4,4,4,1,4,587,where is this video taken,DL,road,roadside,sea,computer table,room,True,False,True,True,True,False,True
1936,4081746317_5,1,1,1,1,4,1,570,what are the two boys on the rocks doing at the start of the video,TC,grab some sand,resting,playing with the dog,cleaning foot,take off wet clothes,True,False,True,True,True,False,True
1938,2758300055_4,1,1,1,1,1,1,1473,why is the baby in light blue lying down his back on the lady s arms,CW,changing diaper,resting,admiring her necklace,listening to radio,star gazing,True,False,True,True,True,True,True
1941,11155395153_7,0,0,0,0,0,0,346,how did the baby react to be tickled initially,TC,laughing,jump up and down,move around,swing arms,pushups,True,False,True,True,True,True,True
1944,4834895241_2,0,0,0,0,0,0,489,how did the people driving the cart protect their head from injury,DO,wear helmet,wear safety boots,holds the wheel,keep a distance,car turn slowly,True,False,True,True,True,True,True
1945,9094000959_7,2,2,2,2,0,2,2408,where is this place,DL,restaurant,park,house,outside a house,stage,True,False,True,True,True,False,True
1949,4389226223_9,1,1,1,1,4,1,1114,how many people are involved in the video,DC,one,two,six,five,three,True,False,True,True,True,False,True
1953,4097448142_5,4,4,4,4,4,4,2158,how does the child manage to move back and forth,CH,cycling,swimming,skating,man carry by legs,swinging,True,False,True,True,True,True,True
1961,6974250690_9,0,0,0,0,0,0,1085,how does the baby show that he is happy,CH,smiles,waves hands,sings,pose with a hand gesture,dances,True,False,True,True,True,True,True
1966,3932142423_0,3,3,3,3,0,3,2669,why is the girl wearing shoes,CW,for hiking,to be comfortable,hold bird,outfit,worked in mud,True,False,True,True,True,False,True
1967,8750015460_1,4,4,4,4,0,4,1133,why does the child open the book,CW,flip to another page,playing with toys,turning the pages,keep him occupied,read book,True,False,True,True,True,False,True
1968,7533206274_8,1,1,1,1,0,1,564,how does the lady sitting at the side position her arms at the end,DO,lean head on her right,cross on her shoulder,sit and lean on the sofa,tugged her waist,walked up and down,True,False,True,True,True,False,True
1972,3020343223_3,3,3,3,3,4,3,1502,what is the likely relationship between the musicians on the stage,DO,classmate,amplify sound through microphones,work mates,band members,colleagues,True,False,True,True,True,False,True
1976,2657975235_1,0,0,0,0,0,0,350,why did the blue shirt man nod,CW,acknowledging,morning stretch,feeling uncomfortable,sitting on a car,moving with the beat of the music,True,False,True,True,True,True,True
1983,7530907250_1,3,3,3,3,4,3,677,why is the man wearing shades,CW,performing on stage,posing for photo,dancing,protect his eyes,costume,True,False,True,True,True,False,True
1988,2669597217_4,2,2,2,2,4,2,349,why did the girl bend down and paused near the shark at the end,CW,to put more sand into pond,wave,taking photo with shark,balancing in water,pick up something on ground,True,False,True,True,True,False,True
1990,4853075919_0,0,0,0,0,4,0,1170,why did the girl wake up momentarily while she was dozing off,CW,to finish her food,hit by ball,to stretch,heard a dog bark,car hit a bump,True,False,True,True,True,False,True
1992,4630037573_8,3,3,3,3,0,3,541,how does the lady hit the ball,CH,hold while turning,with a bat,with a board,with the golf stick,with her hands,True,False,True,True,True,False,True
1996,2481132749_2,3,3,3,3,4,3,671,why is the man in white swinging his hands while holding on to the yellow disc,CW,amused,their outfit,make him prominent,aim before throwing,game controller,True,False,True,True,True,False,True
1998,3889087646_0,4,4,4,4,4,4,744,what is the man doing as he look at the cake in the beginning of the video,TC,waving at the camera,smoking,walked forward towards the man,photos taken,rubbing his hands,True,False,True,True,True,True,True
1999,4081746317_0,4,4,4,4,4,4,570,why is the man wearing slippers sitting at the top of the rock at the start of the video,CW,take photo from angle,sunbathing,preparing for a performance,to pose for the camera,waiting to jump in water,True,False,True,True,True,True,True
2001,2679006680_7,2,2,2,2,1,2,827,what did the girl do after bending down at the start of the video,TN,show baby how to steer wheel,turned behind,pick up toy,play with baby,pull skirt up,True,False,True,True,True,False,True
2003,2822110402_8,1,1,1,1,4,1,918,what sport are the people doing,TC,frisbee,diving,dancing,rugby,beach volleyball,True,False,True,True,True,False,True
2012,6236724261_0,2,2,2,2,0,2,1283,why did the woman in black look at the grey jacket woman as she is speaking,CW,observing her actions,gave her a gift,listening to her,her shirt was dirty,noticing her hair colour,True,False,True,True,True,False,True
2013,5890296039_6,0,0,0,0,0,0,2697,what does the person at bottom right do after raising his camera up for a while at the start,TN,lowers camera,passes camera to someone else,crawl forward,talk to friends,stand on slope,True,False,True,True,True,True,True
2023,6016853978_6,3,3,3,3,4,3,351,how does the old man react after the girl makes the funny face back at him,TN,cycle away,put hand on his heart,hugs her,laugh,come forward,True,False,True,True,True,False,True
